date,fromHeight,toHeight,blocksScanned,totalTx,txWithOpReturn,txAlkanes,opReturnBytes,runestoneBytes,alkanesBytes,dieselMints,feeTotalSats,feeAlkanesSats,feeOpReturnSats,btcUsd,weightTotal,weightAlkanes,ugMints,dieselUg
2025-12-29,930000,930088,89,321136,145947,23614,1604952,1392270,520627,23570,168485835,1420547,12883079,87822.90829076794,327363183,18285100,141211,23514
2025-12-30,930089,930207,119,369499,86970,23067,1277676,946156,510555,22955,297274513,3695362,10439495,87156.56266080117,441485094,17787850,81020,22947
2025-12-31,930208,930340,133,408137,124929,71679,2280902,1955018,1570674,71470,315528709,1420567,11793820,88414.62856073362,487035594,58690838,118838,71415
2026-01-01,930341,930491,151,469099,243310,186005,4725701,4422218,3992572,185842,223460679,14857212,20274466,87520.18048742875,511363190,155172665,237530,185811
2026-01-02,930492,930635,144,458965,194008,140476,3798182,3447338,3062452,140340,268624645,7634897,13898622,88727.67004249741,504842177,116787903,187516,140189
2026-01-03,930636,930790,155,501272,241150,137609,4128174,3766065,2985949,137520,262027149,14273653,27840003,89926.27924953419,531598882,112517510,234283,137445
2026-01-04,930791,930935,145,474589,227158,98459,3508519,3106309,2117505,98254,239616784,11597228,35711260,90593.85443180417,518540254,79972385,219495,98254
2026-01-05,930936,931067,132,409625,129740,53596,2160326,1703966,1170774,53454,278746337,4328563,13360452,91373.21588108438,475855690,44649056,121621,53452
2026-01-06,931068,931197,130,424895,146062,71394,2593857,2057221,1527408,71194,276438086,2739992,12770090,93926.7956485658,488308004,62790955,135330,69956
2026-01-07,931198,931344,147,425191,164667,137324,3505735,3066401,2891050,137192,259890473,6825865,14071966,93666.86387314305,533441036,123825852,154649,135287
2026-01-08,931345,931476,132,334415,81372,55398,1790153,1373854,1200601,55255,252742997,3995709,9366534,91257.15544035907,469018074,66601414,74306,55250
2026-01-09,931477,931618,142,355655,79304,66561,1876784,1464386,1401194,66456,261101839,2673384,9553915,90983.51578142625,509537236,51168414,68277,66406
2026-01-10,931619,931780,162,488786,249809,119558,3938773,3563186,2571655,119424,203575876,5720701,12425630,90504.89560340019,565815964,111428695,242919,119424
2026-01-11,931781,931902,122,290317,72749,65125,1748541,1396759,1373871,65014,191992710,3264939,7616002,90442.01907847001,440206511,76273516,65551,64889
2026-01-12,931903,932044,142,411249,161150,103407,3069707,2663223,2224188,103279,237355841,4369702,10883548,90819.36598904192,507717918,116746949,154076,103279
2026-01-13,932045,932179,135,336329,75701,63048,1974268,1401594,1360065,62933,295137224,2726117,12811237,91134.96917951507,478762414,86994931,66455,62933
2026-01-14,932180,932303,124,324327,51065,39226,1424664,883010,841704,39111,307288284,3753992,12162292,95260.4422971001,461715563,32628768,40274,38436
2026-01-15,932304,932442,139,374223,96832,51586,1943401,1432112,1112811,51458,325228184,4956360,13477568,97007.78078881276,497573660,59464722,87256,51458
2026-01-16,932443,932572,130,361943,85727,24315,1411525,966805,519078,24181,331762974,3720225,14575326,95584.82797878512,494217277,35831388,77632,24181
2026-01-17,932573,932721,149,357391,122358,64116,2201458,1829993,1373508,64006,233920413,6659516,13578030,95516.07771987123,511863709,86198993,115940,64006
2026-01-18,932722,932861,140,332526,120519,68704,2230626,1868450,1477595,68584,186424165,3700696,23902721,95099.53192554631,480191339,131293706,114202,68582
2026-01-19,932862,933011,150,354595,104156,68726,2219716,1699357,1461300,68469,228267959,3237558,9520352,93752.70577188236,535203365,69624292,95284,68468
2026-01-20,933012,933144,133,383148,140007,80687,2818207,2103730,1712745,80548,274208451,3278793,32680333,92558.46334372147,492539204,91747770,127292,80546
2026-01-21,933145,933281,137,428195,163823,140292,3635800,3074610,2952859,140135,268551253,7081697,14642080,88312.84053255555,491223918,97914298,154108,140133
2026-01-22,933282,933442,161,464040,214371,112685,3659234,3157336,2394540,112550,228662075,3521225,10829220,89354.34377512129,561666143,102632579,205901,112550
2026-01-23,933443,933582,140,436563,176703,83566,2844690,2424756,1765947,83413,251372652,2844342,11831658,89443.39744146909,510722873,76743121,168021,83221
2026-01-24,933583,933680,98,289144,76954,56646,1729142,1326107,1200596,56489,201546836,2793015,8239472,89412.39849953113,350442178,45186874,66251,56489
2026-01-25,933681,933788,108,314920,103611,61510,2066479,1569709,1313134,61293,192790523,1268920,16796989,89170.87364531498,383138546,39139145,94756,61293
2026-01-26,933789,933912,124,402432,158257,52309,2318605,1849246,1116406,51976,237703143,2447603,11102326,86548.32213469829,459345648,34551857,149917,51974
2026-01-27,933913,934034,122,362327,113073,24726,1658020,1163514,534474,24399,230411534,752953,7733135,88307.8612070438,422410036,17534916,104438,24394
2026-01-28,934035,934144,110,336095,79008,12171,1190156,732163,263088,12030,287090808,992727,11975868,89204.22239644526,406358095,11008022,71079,11948
2026-01-29,934145,934272,128,428725,158601,39656,2344244,1812172,853354,39244,273977676,1415730,13645726,89162.09701574955,482403467,30578514,148198,39194
2026-01-30,934273,934403,131,380796,86549,38359,1757846,1179892,814606,38095,335061960,1661891,12316320,84570.40906135936,488300203,26835282,76311,38042
2026-01-31,934404,934541,138,405402,130250,35981,2095921,1485791,775416,35743,304066780,1324293,14450808,84141.77856967277,492708892,26172465,119191,35696
2026-02-01,934542,934660,119,352779,117669,24427,1690215,1202848,530104,24178,252159004,3030453,21135719,78725.85853884545,423105520,16843477,109410,24144
2026-02-02,934661,934778,118,357323,89817,12984,1324281,872176,287716,12845,341784239,1842831,14807905,76937.06406636834,433761407,12565635,81824,12815
2026-02-03,934779,934910,132,435461,147821,24963,2002282,1518705,574268,24797,329510479,3472671,23063769,78767.65815345927,513191609,29677309,139076,24749
2026-02-04,934911,935052,142,411218,137198,40500,2097075,1627102,907596,40285,321760022,1907862,15404261,75638.95670207398,536149232,42592422,128115,40247
2026-02-05,935053,935179,127,384550,68338,22800,1428891,803835,500076,22664,559283490,477236,20476720,73172.29203248928,479965397,18429299,57101,22651
